sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中壢,桃園市,63,細懸浮微粒,普通,1.2,0.7,16.1,15.0,28,20,18.8,24.7,5.8,0.2,221,"2024-01-12 03:00",,0.9,20.2,33,2,121.221667,24.953278,68
龍潭,桃園市,58,細懸浮微粒,普通,0.9,0.27,19.2,25.6,12,15,11.9,12.4,0.5,1.2,124,"2024-01-12 03:00",,0.3,18.2,27,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,0.8,0.33,23.2,27.3,29,19,12.8,13.8,1,0.2,178,"2024-01-12 03:00",,0.4,21.3,29,1,121.203986,24.952786,20
觀音,桃園市,62,細懸浮微粒,普通,2,0.31,10.4,22.5,38,21,29.5,30.3,0.8,1.3,98,"2024-01-12 03:00",,0.3,19.8,38,,121.08283092,25.03556747,19
大園,桃園市,48,,良好,2.2,0.33,20.2,25.6,28,17,18.3,19.3,0.9,0.6,189,"2024-01-12 03:00",,0.3,14.7,30,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,3.1,0.34,20.2,29.0,31,17,16.2,17,0.8,0.4,174,"2024-01-12 03:00",,0.4,17.6,30,2,121.30500531,24.9947107,17
中壢,桃園市,64,細懸浮微粒,普通,0.9,0.65,19.7,14.8,31,20,20.5,25.8,5.3,0.2,188,"2024-01-12 02:00",,1,20.7,34,2,121.221667,24.953278,68
龍潭,桃園市,60,細懸浮微粒,普通,0.7,0.28,28.9,27.2,23,16,10.4,10.8,0.4,0.5,131,"2024-01-12 02:00",,0.3,19,31,1,121.21645772,24.86400048,21
平鎮,桃園市,66,細懸浮微粒,普通,0.8,0.35,24.5,28.0,23,23,15.3,16.5,1.2,0.2,170,"2024-01-12 02:00",,0.4,21.5,30,1,121.203986,24.952786,20
觀音,桃園市,60,細懸浮微粒,普通,3.4,0.31,11.5,24.9,40,13,29.2,30.2,0.9,0.1,30,"2024-01-12 02:00",,0.3,19.2,38,,121.08283092,25.03556747,19
大園,桃園市,46,,良好,2.8,0.28,20.9,26.4,25,11,27.5,28.7,1.1,0.2,79,"2024-01-12 02:00",,0.3,14.3,30,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,3.5,0.31,32.1,30.3,25,17,11.2,12,0.7,1,67,"2024-01-12 02:00",,0.4,17.7,29,1,121.30500531,24.9947107,17
中壢,桃園市,65,細懸浮微粒,普通,1.9,0.78,17.1,14.7,30,18,23.9,31.1,7.2,0.4,191,"2024-01-12 01:00",,1,21,35,2,121.221667,24.953278,68
龍潭,桃園市,61,細懸浮微粒,普通,1.2,0.31,26.5,26.9,32,19,15,16,0.9,1,135,"2024-01-12 01:00",,0.4,19.4,33,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1.4,0.42,23.7,28.5,28,22,19.2,20.3,1.1,0.3,127,"2024-01-12 01:00",,0.4,21.3,32,1,121.203986,24.952786,20
觀音,桃園市,62,細懸浮微粒,普通,2.6,0.28,23.9,,40,35,19.5,20.5,0.9,1,83,"2024-01-12 01:00",,0.3,20,39,,121.08283092,25.03556747,19
大園,桃園市,50,,良好,1.9,0.3,27.3,28.8,29,16,20.7,22.1,1.3,0.6,44,"2024-01-12 01:00",,0.3,15.4,32,1,121.20251473,25.06100357,18
桃園,桃園市,57,細懸浮微粒,普通,2.7,0.4,27.7,30.4,31,17,18.1,19.4,1.2,0.8,174,"2024-01-12 01:00",,0.4,17.9,31,1,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.3,0.93,14.4,15.8,32,21,28.6,40.1,11.5,0.2,272,"2024-01-12 00:00",,1,21.4,37,2,121.221667,24.953278,68
龍潭,桃園市,62,細懸浮微粒,普通,1.2,0.36,23.8,28.9,28,19,17.8,18.9,1,1.1,60,"2024-01-12 00:00",,0.4,19.8,33,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1.4,0.45,23.6,31,30,21,22,23.3,1.3,1,98,"2024-01-12 00:00",,0.4,21,33,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,2,0.25,31.8,,36,16,15.9,16.9,0.9,2.5,74,"2024-01-12 00:00",,,17.1,39,,121.08283092,25.03556747,19
大園,桃園市,51,細懸浮微粒,普通,1.8,0.31,25.9,31.5,30,12,25.5,27.1,1.5,1.4,49,"2024-01-12 00:00",,0.3,15.5,33,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,1.5,0.42,27.8,32.0,28,19,18.1,19.5,1.3,1,79,"2024-01-12 00:00",,0.4,17.7,31,1,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.3,1.17,10.8,17.1,35,24,35.1,56.6,21.4,0.2,249,"2024-01-11 23:00",,1,21.7,38,2,121.221667,24.953278,68
龍潭,桃園市,61,細懸浮微粒,普通,1.3,0.39,25.2,32.0,32,20,19.7,21.2,1.5,1,68,"2024-01-11 23:00",,0.4,19.6,34,1,121.21645772,24.86400048,21
平鎮,桃園市,64,細懸浮微粒,普通,1.3,0.49,27.2,33.5,33,21,19.9,21.2,1.2,0.6,108,"2024-01-11 23:00",,0.4,20.7,33,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,2.6,0.34,31.3,,36,18,18.9,19.9,1,3.6,78,"2024-01-11 23:00",,,17.1,40,,121.08283092,25.03556747,19
