pid,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,sensortype,source
82324,23.88155,120.42035,332.28,0.46,0.47,2024/1/11,533000,NPP,nominal,1.7,VIIRS,NASA
82323,23.8413,120.58236,330.63,0.47,0.48,2024/1/11,533000,NPP,nominal,2.71,VIIRS,NASA
82322,22.50755,120.42902,340.37,0.45,0.47,2024/1/11,533000,NPP,nominal,3.14,VIIRS,NASA
82319,23.74659,120.31228,298.04,0.4,0.6,2024/1/10,1821000,NPP,nominal,0.28,VIIRS,NASA
82315,23.65596,120.1895,296.93,0.38,0.59,2024/1/9,1700000,NPP,nominal,0.33,VIIRS,NASA
82316,23.62991,120.29031,318.5,0.38,0.59,2024/1/9,1700000,NPP,nominal,1.3,VIIRS,NASA
82318,22.48602,120.40727,299.77,0.36,0.57,2024/1/9,1700000,NPP,nominal,0.72,VIIRS,NASA
82313,24.02525,120.38874,339.01,0.51,0.41,2024/1/8,450000,NPP,nominal,10.12,VIIRS,NASA
82312,23.83991,120.37178,327.74,0.52,0.41,2024/1/8,450000,NPP,nominal,3.5,VIIRS,NASA
82300,24.99132,121.10181,296.53,0.38,0.36,2024/1/7,1736000,NPP,nominal,0.5,VIIRS,NASA
82305,23.41283,120.3204,295.4,0.39,0.36,2024/1/7,1738000,NPP,nominal,0.26,VIIRS,NASA
82306,22.85267,120.19938,298.95,0.39,0.36,2024/1/7,1738000,NPP,nominal,0.2,VIIRS,NASA
82311,22.48564,120.40739,303.88,0.38,0.36,2024/1/7,1738000,NPP,nominal,0.69,VIIRS,NASA
82299,24.98222,121.04184,344.71,0.39,0.37,2024/1/7,510000,NPP,nominal,9.88,VIIRS,NASA
82292,23.83446,120.36147,330.04,0.56,0.43,2024/1/6,527000,NPP,nominal,2.88,VIIRS,NASA
82289,24.5857,121.85201,298.14,0.38,0.58,2024/1/5,1815000,NPP,nominal,0.37,VIIRS,NASA
